<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:tfc:ore/cassiterite/chert>, Chert Cassiterite
<block:tfc:ore/cassiterite/claystone>, Claystone Cassiterite
<block:tfc:ore/cassiterite/conglomerate>, Conglomerate Cassiterite
<block:tfc:ore/cassiterite/dacite>, Dacite Cassiterite
<block:tfc:ore/cassiterite/diorite>, Diorite Cassiterite
<block:tfc:ore/cassiterite/dolomite>, Dolomite Cassiterite
<block:tfc:ore/cassiterite/gabbro>, Gabbro Cassiterite
<block:tfc:ore/cassiterite/gneiss>, Gneiss Cassiterite
<block:tfc:ore/cassiterite/granite>, Granite Cassiterite
<block:tfc:ore/cassiterite/limestone>, Limestone Cassiterite
<block:tfc:ore/cassiterite/marble>, Marble Cassiterite
<block:tfc:ore/cassiterite/phyllite>, Phyllite Cassiterite
<block:tfc:ore/cassiterite/quartzite>, Quartzite Cassiterite
<block:tfc:ore/cassiterite/rhyolite>, Rhyolite Cassiterite
<block:tfc:ore/cassiterite/rocksalt>, Rocksalt Cassiterite
<block:tfc:ore/cassiterite/schist>, Schist Cassiterite
<block:tfc:ore/cassiterite/shale>, Shale Cassiterite
<block:tfc:ore/cassiterite/slate>, Slate Cassiterite
<block:tfc:ore/chromite/andesite>, Chromite Andesite
<block:tfc:ore/chromite/basalt>, Chromite Basalt
<block:tfc:ore/chromite/chalk>, Chromite Chalk
<block:tfc:ore/chromite/chert>, Chromite Chert
<block:tfc:ore/chromite/claystone>, Chromite Claystone
<block:tfc:ore/chromite/conglomerate>, Chromite Conglomerate
<block:tfc:ore/chromite/dacite>, Chromite Dacite
<block:tfc:ore/chromite/diorite>, Chromite Diorite
<block:tfc:ore/chromite/dolomite>, Chromite Dolomite
<block:tfc:ore/chromite/gabbro>, Chromite Gabbro
<block:tfc:ore/chromite/gneiss>, Chromite Gneiss
<block:tfc:ore/chromite/granite>, Chromite Granite
<block:tfc:ore/chromite/limestone>, Chromite Limestone
<block:tfc:ore/chromite/marble>, Chromite Marble
<block:tfc:ore/chromite/phyllite>, Chromite Phyllite
<block:tfc:ore/chromite/quartzite>, Chromite Quartzite
<block:tfc:ore/chromite/rhyolite>, Chromite Rhyolite
<block:tfc:ore/chromite/rocksalt>, Chromite Rocksalt
<block:tfc:ore/chromite/schist>, Chromite Schist
<block:tfc:ore/chromite/shale>, Chromite Shale
<block:tfc:ore/chromite/slate>, Chromite Slate
<block:tfc:ore/cinnabar/andesite>, Andesite Cinnabar
<block:tfc:ore/cinnabar/basalt>, Basalt Cinnabar
<block:tfc:ore/cinnabar/chalk>, Chalk Cinnabar
<block:tfc:ore/cinnabar/chert>, Chert Cinnabar
<block:tfc:ore/cinnabar/claystone>, Claystone Cinnabar
<block:tfc:ore/cinnabar/conglomerate>, Conglomerate Cinnabar
<block:tfc:ore/cinnabar/dacite>, Dacite Cinnabar
<block:tfc:ore/cinnabar/diorite>, Diorite Cinnabar
<block:tfc:ore/cinnabar/dolomite>, Dolomite Cinnabar
<block:tfc:ore/cinnabar/gabbro>, Gabbro Cinnabar
<block:tfc:ore/cinnabar/gneiss>, Gneiss Cinnabar
<block:tfc:ore/cinnabar/granite>, Granite Cinnabar
<block:tfc:ore/cinnabar/limestone>, Limestone Cinnabar
<block:tfc:ore/cinnabar/marble>, Marble Cinnabar
<block:tfc:ore/cinnabar/phyllite>, Phyllite Cinnabar
<block:tfc:ore/cinnabar/quartzite>, Quartzite Cinnabar
<block:tfc:ore/cinnabar/rhyolite>, Rhyolite Cinnabar
<block:tfc:ore/cinnabar/rocksalt>, Rocksalt Cinnabar
<block:tfc:ore/cinnabar/schist>, Schist Cinnabar
<block:tfc:ore/cinnabar/shale>, Shale Cinnabar
<block:tfc:ore/cinnabar/slate>, Slate Cinnabar
<block:tfc:ore/cobaltite/andesite>, Cobaltite Andesite
<block:tfc:ore/cobaltite/basalt>, Cobaltite Basalt
<block:tfc:ore/cobaltite/chalk>, Cobaltite Chalk
<block:tfc:ore/cobaltite/chert>, Cobaltite Chert
<block:tfc:ore/cobaltite/claystone>, Cobaltite Claystone
<block:tfc:ore/cobaltite/conglomerate>, Cobaltite Conglomerate
<block:tfc:ore/cobaltite/dacite>, Cobaltite Dacite
<block:tfc:ore/cobaltite/diorite>, Cobaltite Diorite
<block:tfc:ore/cobaltite/dolomite>, Cobaltite Dolomite
<block:tfc:ore/cobaltite/gabbro>, Cobaltite Gabbro
<block:tfc:ore/cobaltite/gneiss>, Cobaltite Gneiss
<block:tfc:ore/cobaltite/granite>, Cobaltite Granite
<block:tfc:ore/cobaltite/limestone>, Cobaltite Limestone
<block:tfc:ore/cobaltite/marble>, Cobaltite Marble
<block:tfc:ore/cobaltite/phyllite>, Cobaltite Phyllite
<block:tfc:ore/cobaltite/quartzite>, Cobaltite Quartzite
<block:tfc:ore/cobaltite/rhyolite>, Cobaltite Rhyolite
<block:tfc:ore/cobaltite/rocksalt>, Cobaltite Rocksalt
<block:tfc:ore/cobaltite/schist>, Cobaltite Schist
<block:tfc:ore/cobaltite/shale>, Cobaltite Shale
<block:tfc:ore/cobaltite/slate>, Cobaltite Slate
<block:tfc:ore/cryolite/andesite>, Andesite Cryolite
<block:tfc:ore/cryolite/basalt>, Basalt Cryolite
<block:tfc:ore/cryolite/chalk>, Chalk Cryolite
<block:tfc:ore/cryolite/chert>, Chert Cryolite
<block:tfc:ore/cryolite/claystone>, Claystone Cryolite
<block:tfc:ore/cryolite/conglomerate>, Conglomerate Cryolite
<block:tfc:ore/cryolite/dacite>, Dacite Cryolite
<block:tfc:ore/cryolite/diorite>, Diorite Cryolite
<block:tfc:ore/cryolite/dolomite>, Dolomite Cryolite
<block:tfc:ore/cryolite/gabbro>, Gabbro Cryolite
<block:tfc:ore/cryolite/gneiss>, Gneiss Cryolite
<block:tfc:ore/cryolite/granite>, Granite Cryolite
<block:tfc:ore/cryolite/limestone>, Limestone Cryolite
<block:tfc:ore/cryolite/marble>, Marble Cryolite
<block:tfc:ore/cryolite/phyllite>, Phyllite Cryolite
<block:tfc:ore/cryolite/quartzite>, Quartzite Cryolite
<block:tfc:ore/cryolite/rhyolite>, Rhyolite Cryolite
<block:tfc:ore/cryolite/rocksalt>, Rocksalt Cryolite
<block:tfc:ore/cryolite/schist>, Schist Cryolite
<block:tfc:ore/cryolite/shale>, Shale Cryolite
<block:tfc:ore/cryolite/slate>, Slate Cryolite
<block:tfc:ore/fluorite/andesite>, Fluorite Andesite
<block:tfc:ore/fluorite/basalt>, Fluorite Basalt
<block:tfc:ore/fluorite/chalk>, Fluorite Chalk
<block:tfc:ore/fluorite/chert>, Fluorite Chert
<block:tfc:ore/fluorite/claystone>, Fluorite Claystone
<block:tfc:ore/fluorite/conglomerate>, Fluorite Conglomerate
<block:tfc:ore/fluorite/dacite>, Fluorite Dacite
<block:tfc:ore/fluorite/diorite>, Fluorite Diorite
<block:tfc:ore/fluorite/dolomite>, Fluorite Dolomite
<block:tfc:ore/fluorite/gabbro>, Fluorite Gabbro
<block:tfc:ore/fluorite/gneiss>, Fluorite Gneiss
<block:tfc:ore/fluorite/granite>, Fluorite Granite
<block:tfc:ore/fluorite/limestone>, Fluorite Limestone
<block:tfc:ore/fluorite/marble>, Fluorite Marble
<block:tfc:ore/fluorite/phyllite>, Fluorite Phyllite
<block:tfc:ore/fluorite/quartzite>, Fluorite Quartzite
<block:tfc:ore/fluorite/rhyolite>, Fluorite Rhyolite
<block:tfc:ore/fluorite/rocksalt>, Fluorite Rocksalt
<block:tfc:ore/fluorite/schist>, Fluorite Schist
<block:tfc:ore/fluorite/shale>, Fluorite Shale
<block:tfc:ore/fluorite/slate>, Fluorite Slate
<block:tfc:ore/galena/andesite>, Andesite Galena
<block:tfc:ore/galena/basalt>, Basalt Galena
<block:tfc:ore/galena/chalk>, Chalk Galena
<block:tfc:ore/galena/chert>, Chert Galena
<block:tfc:ore/galena/claystone>, Claystone Galena
<block:tfc:ore/galena/conglomerate>, Conglomerate Galena
<block:tfc:ore/galena/dacite>, Dacite Galena
<block:tfc:ore/galena/diorite>, Diorite Galena
<block:tfc:ore/galena/dolomite>, Dolomite Galena
<block:tfc:ore/galena/gabbro>, Gabbro Galena
<block:tfc:ore/galena/gneiss>, Gneiss Galena
<block:tfc:ore/galena/granite>, Granite Galena
<block:tfc:ore/galena/limestone>, Limestone Galena
<block:tfc:ore/galena/marble>, Marble Galena
<block:tfc:ore/galena/phyllite>, Phyllite Galena
<block:tfc:ore/galena/quartzite>, Quartzite Galena
<block:tfc:ore/galena/rhyolite>, Rhyolite Galena
<block:tfc:ore/galena/rocksalt>, Rocksalt Galena
<block:tfc:ore/galena/schist>, Schist Galena
<block:tfc:ore/galena/shale>, Shale Galena
<block:tfc:ore/galena/slate>, Slate Galena
<block:tfc:ore/garnierite/andesite>, Andesite Garnierite
<block:tfc:ore/garnierite/basalt>, Basalt Garnierite
<block:tfc:ore/garnierite/chalk>, Chalk Garnierite
<block:tfc:ore/garnierite/chert>, Chert Garnierite
<block:tfc:ore/garnierite/claystone>, Claystone Garnierite
<block:tfc:ore/garnierite/conglomerate>, Conglomerate Garnierite
<block:tfc:ore/garnierite/dacite>, Dacite Garnierite
<block:tfc:ore/garnierite/diorite>, Diorite Garnierite
<block:tfc:ore/garnierite/dolomite>, Dolomite Garnierite
<block:tfc:ore/garnierite/gabbro>, Gabbro Garnierite
<block:tfc:ore/garnierite/gneiss>, Gneiss Garnierite
<block:tfc:ore/garnierite/granite>, Granite Garnierite
<block:tfc:ore/garnierite/limestone>, Limestone Garnierite
<block:tfc:ore/garnierite/marble>, Marble Garnierite
<block:tfc:ore/garnierite/phyllite>, Phyllite Garnierite
<block:tfc:ore/garnierite/quartzite>, Quartzite Garnierite
<block:tfc:ore/garnierite/rhyolite>, Rhyolite Garnierite
<block:tfc:ore/garnierite/rocksalt>, Rocksalt Garnierite
<block:tfc:ore/garnierite/schist>, Schist Garnierite
<block:tfc:ore/garnierite/shale>, Shale Garnierite
<block:tfc:ore/garnierite/slate>, Slate Garnierite
<block:tfc:ore/graphite/andesite>, Andesite Graphite
<block:tfc:ore/graphite/basalt>, Basalt Graphite
<block:tfc:ore/graphite/chalk>, Chalk Graphite
<block:tfc:ore/graphite/chert>, Chert Graphite
<block:tfc:ore/graphite/claystone>, Claystone Graphite
<block:tfc:ore/graphite/conglomerate>, Conglomerate Graphite
<block:tfc:ore/graphite/dacite>, Dacite Graphite
<block:tfc:ore/graphite/diorite>, Diorite Graphite
<block:tfc:ore/graphite/dolomite>, Dolomite Graphite
<block:tfc:ore/graphite/gabbro>, Gabbro Graphite
<block:tfc:ore/graphite/gneiss>, Gneiss Graphite
<block:tfc:ore/graphite/granite>, Granite Graphite
<block:tfc:ore/graphite/limestone>, Limestone Graphite
<block:tfc:ore/graphite/marble>, Marble Graphite
<block:tfc:ore/graphite/phyllite>, Phyllite Graphite
<block:tfc:ore/graphite/quartzite>, Quartzite Graphite
<block:tfc:ore/graphite/rhyolite>, Rhyolite Graphite
<block:tfc:ore/graphite/rocksalt>, Rocksalt Graphite
<block:tfc:ore/graphite/schist>, Schist Graphite
<block:tfc:ore/graphite/shale>, Shale Graphite
<block:tfc:ore/graphite/slate>, Slate Graphite
<block:tfc:ore/gypsum/andesite>, Andesite Gypsum
<block:tfc:ore/gypsum/basalt>, Basalt Gypsum
<block:tfc:ore/gypsum/chalk>, Chalk Gypsum
<block:tfc:ore/gypsum/chert>, Chert Gypsum
<block:tfc:ore/gypsum/claystone>, Claystone Gypsum
<block:tfc:ore/gypsum/conglomerate>, Conglomerate Gypsum
<block:tfc:ore/gypsum/dacite>, Dacite Gypsum
<block:tfc:ore/gypsum/diorite>, Diorite Gypsum
<block:tfc:ore/gypsum/dolomite>, Dolomite Gypsum
<block:tfc:ore/gypsum/gabbro>, Gabbro Gypsum
<block:tfc:ore/gypsum/gneiss>, Gneiss Gypsum
<block:tfc:ore/gypsum/granite>, Granite Gypsum
<block:tfc:ore/gypsum/limestone>, Limestone Gypsum
<block:tfc:ore/gypsum/marble>, Marble Gypsum
<block:tfc:ore/gypsum/phyllite>, Phyllite Gypsum
<block:tfc:ore/gypsum/quartzite>, Quartzite Gypsum
<block:tfc:ore/gypsum/rhyolite>, Rhyolite Gypsum
<block:tfc:ore/gypsum/rocksalt>, Rocksalt Gypsum
<block:tfc:ore/gypsum/schist>, Schist Gypsum
<block:tfc:ore/gypsum/shale>, Shale Gypsum
<block:tfc:ore/gypsum/slate>, Slate Gypsum
<block:tfc:ore/hematite/andesite>, Andesite Hematite
<block:tfc:ore/hematite/basalt>, Basalt Hematite
<block:tfc:ore/hematite/chalk>, Chalk Hematite
<block:tfc:ore/hematite/chert>, Chert Hematite
<block:tfc:ore/hematite/claystone>, Claystone Hematite
<block:tfc:ore/hematite/conglomerate>, Conglomerate Hematite
<block:tfc:ore/hematite/dacite>, Dacite Hematite
<block:tfc:ore/hematite/diorite>, Diorite Hematite
<block:tfc:ore/hematite/dolomite>, Dolomite Hematite
<block:tfc:ore/hematite/gabbro>, Gabbro Hematite
<block:tfc:ore/hematite/gneiss>, Gneiss Hematite
<block:tfc:ore/hematite/granite>, Granite Hematite
<block:tfc:ore/hematite/limestone>, Limestone Hematite
<block:tfc:ore/hematite/marble>, Marble Hematite
<block:tfc:ore/hematite/phyllite>, Phyllite Hematite
<block:tfc:ore/hematite/quartzite>, Quartzite Hematite
<block:tfc:ore/hematite/rhyolite>, Rhyolite Hematite
<block:tfc:ore/hematite/rocksalt>, Rocksalt Hematite
<block:tfc:ore/hematite/schist>, Schist Hematite
<block:tfc:ore/hematite/shale>, Shale Hematite
<block:tfc:ore/hematite/slate>, Slate Hematite
<block:tfc:ore/jet/andesite>, Andesite Jet
<block:tfc:ore/jet/basalt>, Basalt Jet
<block:tfc:ore/jet/chalk>, Chalk Jet
<block:tfc:ore/jet/chert>, Chert Jet
<block:tfc:ore/jet/claystone>, Claystone Jet
<block:tfc:ore/jet/conglomerate>, Conglomerate Jet
<block:tfc:ore/jet/dacite>, Dacite Jet
<block:tfc:ore/jet/diorite>, Diorite Jet
<block:tfc:ore/jet/dolomite>, Dolomite Jet
<block:tfc:ore/jet/gabbro>, Gabbro Jet
<block:tfc:ore/jet/gneiss>, Gneiss Jet
<block:tfc:ore/jet/granite>, Granite Jet
<block:tfc:ore/jet/limestone>, Limestone Jet
<block:tfc:ore/jet/marble>, Marble Jet
<block:tfc:ore/jet/phyllite>, Phyllite Jet
<block:tfc:ore/jet/quartzite>, Quartzite Jet
<block:tfc:ore/jet/rhyolite>, Rhyolite Jet
<block:tfc:ore/jet/rocksalt>, Rocksalt Jet
<block:tfc:ore/jet/schist>, Schist Jet
<block:tfc:ore/jet/shale>, Shale Jet
<block:tfc:ore/jet/slate>, Slate Jet
<block:tfc:ore/kaolinite/andesite>, Andesite Kaolinite
<block:tfc:ore/kaolinite/basalt>, Basalt Kaolinite
<block:tfc:ore/kaolinite/chalk>, Chalk Kaolinite
<block:tfc:ore/kaolinite/chert>, Chert Kaolinite
<block:tfc:ore/kaolinite/claystone>, Claystone Kaolinite
<block:tfc:ore/kaolinite/conglomerate>, Conglomerate Kaolinite
<block:tfc:ore/kaolinite/dacite>, Dacite Kaolinite
<block:tfc:ore/kaolinite/diorite>, Diorite Kaolinite
<block:tfc:ore/kaolinite/dolomite>, Dolomite Kaolinite
<block:tfc:ore/kaolinite/gabbro>, Gabbro Kaolinite
<block:tfc:ore/kaolinite/gneiss>, Gneiss Kaolinite
<block:tfc:ore/kaolinite/granite>, Granite Kaolinite
<block:tfc:ore/kaolinite/limestone>, Limestone Kaolinite
<block:tfc:ore/kaolinite/marble>, Marble Kaolinite
<block:tfc:ore/kaolinite/phyllite>, Phyllite Kaolinite
<block:tfc:ore/kaolinite/quartzite>, Quartzite Kaolinite
<block:tfc:ore/kaolinite/rhyolite>, Rhyolite Kaolinite
<block:tfc:ore/kaolinite/rocksalt>, Rocksalt Kaolinite
<block:tfc:ore/kaolinite/schist>, Schist Kaolinite
<block:tfc:ore/kaolinite/shale>, Shale Kaolinite
<block:tfc:ore/kaolinite/slate>, Slate Kaolinite
<block:tfc:ore/kimberlite/andesite>, Andesite Kimberlite
<block:tfc:ore/kimberlite/basalt>, Basalt Kimberlite
<block:tfc:ore/kimberlite/chalk>, Chalk Kimberlite
<block:tfc:ore/kimberlite/chert>, Chert Kimberlite
<block:tfc:ore/kimberlite/claystone>, Claystone Kimberlite
<block:tfc:ore/kimberlite/conglomerate>, Conglomerate Kimberlite
<block:tfc:ore/kimberlite/dacite>, Dacite Kimberlite
<block:tfc:ore/kimberlite/diorite>, Diorite Kimberlite
<block:tfc:ore/kimberlite/dolomite>, Dolomite Kimberlite
<block:tfc:ore/kimberlite/gabbro>, Gabbro Kimberlite
<block:tfc:ore/kimberlite/gneiss>, Gneiss Kimberlite
<block:tfc:ore/kimberlite/granite>, Granite Kimberlite
<block:tfc:ore/kimberlite/limestone>, Limestone Kimberlite
<block:tfc:ore/kimberlite/marble>, Marble Kimberlite
<block:tfc:ore/kimberlite/phyllite>, Phyllite Kimberlite
<block:tfc:ore/kimberlite/quartzite>, Quartzite Kimberlite
<block:tfc:ore/kimberlite/rhyolite>, Rhyolite Kimberlite
<block:tfc:ore/kimberlite/rocksalt>, Rocksalt Kimberlite
<block:tfc:ore/kimberlite/schist>, Schist Kimberlite
<block:tfc:ore/kimberlite/shale>, Shale Kimberlite
<block:tfc:ore/kimberlite/slate>, Slate Kimberlite
<block:tfc:ore/lapis_lazuli/andesite>, Andesite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/basalt>, Basalt Lapis Lazuli
<block:tfc:ore/lapis_lazuli/chalk>, Chalk Lapis Lazuli
<block:tfc:ore/lapis_lazuli/chert>, Chert Lapis Lazuli
<block:tfc:ore/lapis_lazuli/claystone>, Claystone Lapis Lazuli
<block:tfc:ore/lapis_lazuli/conglomerate>, Conglomerate Lapis Lazuli
<block:tfc:ore/lapis_lazuli/dacite>, Dacite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/diorite>, Diorite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/dolomite>, Dolomite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/gabbro>, Gabbro Lapis Lazuli
<block:tfc:ore/lapis_lazuli/gneiss>, Gneiss Lapis Lazuli
<block:tfc:ore/lapis_lazuli/granite>, Granite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/limestone>, Limestone Lapis Lazuli
<block:tfc:ore/lapis_lazuli/marble>, Marble Lapis Lazuli
<block:tfc:ore/lapis_lazuli/phyllite>, Phyllite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/quartzite>, Quartzite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/rhyolite>, Rhyolite Lapis Lazuli
<block:tfc:ore/lapis_lazuli/rocksalt>, Rocksalt Lapis Lazuli
<block:tfc:ore/lapis_lazuli/schist>, Schist Lapis Lazuli
<block:tfc:ore/lapis_lazuli/shale>, Shale Lapis Lazuli
<block:tfc:ore/lapis_lazuli/slate>, Slate Lapis Lazuli
<block:tfc:ore/lignite/andesite>, Andesite Lignite
<block:tfc:ore/lignite/basalt>, Basalt Lignite
<block:tfc:ore/lignite/chalk>, Chalk Lignite
<block:tfc:ore/lignite/chert>, Chert Lignite
<block:tfc:ore/lignite/claystone>, Claystone Lignite
<block:tfc:ore/lignite/conglomerate>, Conglomerate Lignite
<block:tfc:ore/lignite/dacite>, Dacite Lignite
<block:tfc:ore/lignite/diorite>, Diorite Lignite
<block:tfc:ore/lignite/dolomite>, Dolomite Lignite
<block:tfc:ore/lignite/gabbro>, Gabbro Lignite
<block:tfc:ore/lignite/gneiss>, Gneiss Lignite
<block:tfc:ore/lignite/granite>, Granite Lignite
<block:tfc:ore/lignite/limestone>, Limestone Lignite
<block:tfc:ore/lignite/marble>, Marble Lignite
<block:tfc:ore/lignite/phyllite>, Phyllite Lignite
<block:tfc:ore/lignite/quartzite>, Quartzite Lignite
<block:tfc:ore/lignite/rhyolite>, Rhyolite Lignite
<block:tfc:ore/lignite/rocksalt>, Rocksalt Lignite
<block:tfc:ore/lignite/schist>, Schist Lignite
<block:tfc:ore/lignite/shale>, Shale Lignite
<block:tfc:ore/lignite/slate>, Slate Lignite
<block:tfc:ore/limonite/andesite>, Andesite Limonite
<block:tfc:ore/limonite/basalt>, Basalt Limonite
<block:tfc:ore/limonite/chalk>, Chalk Limonite
<block:tfc:ore/limonite/chert>, Chert Limonite
<block:tfc:ore/limonite/claystone>, Claystone Limonite
<block:tfc:ore/limonite/conglomerate>, Conglomerate Limonite
<block:tfc:ore/limonite/dacite>, Dacite Limonite
<block:tfc:ore/limonite/diorite>, Diorite Limonite
<block:tfc:ore/limonite/dolomite>, Dolomite Limonite
<block:tfc:ore/limonite/gabbro>, Gabbro Limonite
<block:tfc:ore/limonite/gneiss>, Gneiss Limonite
<block:tfc:ore/limonite/granite>, Granite Limonite
<block:tfc:ore/limonite/limestone>, Limestone Limonite
<block:tfc:ore/limonite/marble>, Marble Limonite
<block:tfc:ore/limonite/phyllite>, Phyllite Limonite
<block:tfc:ore/limonite/quartzite>, Quartzite Limonite
<block:tfc:ore/limonite/rhyolite>, Rhyolite Limonite
<block:tfc:ore/limonite/rocksalt>, Rocksalt Limonite
<block:tfc:ore/limonite/schist>, Schist Limonite
<block:tfc:ore/limonite/shale>, Shale Limonite
<block:tfc:ore/limonite/slate>, Slate Limonite
<block:tfc:ore/magnesite/andesite>, Magnesite Andesite
<block:tfc:ore/magnesite/basalt>, Magnesite Basalt
<block:tfc:ore/magnesite/chalk>, Magnesite Chalk
<block:tfc:ore/magnesite/chert>, Magnesite Chert
<block:tfc:ore/magnesite/claystone>, Magnesite Claystone
<block:tfc:ore/magnesite/conglomerate>, Magnesite Conglomerate
<block:tfc:ore/magnesite/dacite>, Magnesite Dacite
<block:tfc:ore/magnesite/diorite>, Magnesite Diorite
<block:tfc:ore/magnesite/dolomite>, Magnesite Dolomite
<block:tfc:ore/magnesite/gabbro>, Magnesite Gabbro
<block:tfc:ore/magnesite/gneiss>, Magnesite Gneiss
<block:tfc:ore/magnesite/granite>, Magnesite Granite
<block:tfc:ore/magnesite/limestone>, Magnesite Limestone
<block:tfc:ore/magnesite/marble>, Magnesite Marble
<block:tfc:ore/magnesite/phyllite>, Magnesite Phyllite
<block:tfc:ore/magnesite/quartzite>, Magnesite Quartzite
<block:tfc:ore/magnesite/rhyolite>, Magnesite Rhyolite
<block:tfc:ore/magnesite/rocksalt>, Magnesite Rocksalt
<block:tfc:ore/magnesite/schist>, Magnesite Schist
<block:tfc:ore/magnesite/shale>, Magnesite Shale
<block:tfc:ore/magnesite/slate>, Magnesite Slate
<block:tfc:ore/magnetite/andesite>, Andesite Magnetite
<block:tfc:ore/magnetite/basalt>, Basalt Magnetite
<block:tfc:ore/magnetite/chalk>, Chalk Magnetite
<block:tfc:ore/magnetite/chert>, Chert Magnetite
<block:tfc:ore/magnetite/claystone>, Claystone Magnetite
<block:tfc:ore/magnetite/conglomerate>, Conglomerate Magnetite
<block:tfc:ore/magnetite/dacite>, Dacite Magnetite
<block:tfc:ore/magnetite/diorite>, Diorite Magnetite
<block:tfc:ore/magnetite/dolomite>, Dolomite Magnetite
<block:tfc:ore/magnetite/gabbro>, Gabbro Magnetite
<block:tfc:ore/magnetite/gneiss>, Gneiss Magnetite
<block:tfc:ore/magnetite/granite>, Granite Magnetite
<block:tfc:ore/magnetite/limestone>, Limestone Magnetite
<block:tfc:ore/magnetite/marble>, Marble Magnetite
<block:tfc:ore/magnetite/phyllite>, Phyllite Magnetite
<block:tfc:ore/magnetite/quartzite>, Quartzite Magnetite
<block:tfc:ore/magnetite/rhyolite>, Rhyolite Magnetite
<block:tfc:ore/magnetite/rocksalt>, Rocksalt Magnetite
<block:tfc:ore/magnetite/schist>, Schist Magnetite
<block:tfc:ore/magnetite/shale>, Shale Magnetite
<block:tfc:ore/magnetite/slate>, Slate Magnetite
<block:tfc:ore/malachite/andesite>, Andesite Malachite
<block:tfc:ore/malachite/basalt>, Basalt Malachite
<block:tfc:ore/malachite/chalk>, Chalk Malachite
<block:tfc:ore/malachite/chert>, Chert Malachite
<block:tfc:ore/malachite/claystone>, Claystone Malachite
<block:tfc:ore/malachite/conglomerate>, Conglomerate Malachite
<block:tfc:ore/malachite/dacite>, Dacite Malachite
<block:tfc:ore/malachite/diorite>, Diorite Malachite
<block:tfc:ore/malachite/dolomite>, Dolomite Malachite
<block:tfc:ore/malachite/gabbro>, Gabbro Malachite
<block:tfc:ore/malachite/gneiss>, Gneiss Malachite
<block:tfc:ore/malachite/granite>, Granite Malachite
<block:tfc:ore/malachite/limestone>, Limestone Malachite
<block:tfc:ore/malachite/marble>, Marble Malachite
<block:tfc:ore/malachite/phyllite>, Phyllite Malachite
<block:tfc:ore/malachite/quartzite>, Quartzite Malachite
<block:tfc:ore/malachite/rhyolite>, Rhyolite Malachite
<block:tfc:ore/malachite/rocksalt>, Rocksalt Malachite
<block:tfc:ore/malachite/schist>, Schist Malachite
<block:tfc:ore/malachite/shale>, Shale Malachite
<block:tfc:ore/malachite/slate>, Slate Malachite
<block:tfc:ore/microcline/andesite>, Andesite Microcline
<block:tfc:ore/microcline/basalt>, Basalt Microcline
<block:tfc:ore/microcline/chalk>, Chalk Microcline
<block:tfc:ore/microcline/chert>, Chert Microcline
<block:tfc:ore/microcline/claystone>, Claystone Microcline
<block:tfc:ore/microcline/conglomerate>, Conglomerate Microcline
<block:tfc:ore/microcline/dacite>, Dacite Microcline
<block:tfc:ore/microcline/diorite>, Diorite Microcline
<block:tfc:ore/microcline/dolomite>, Dolomite Microcline
<block:tfc:ore/microcline/gabbro>, Gabbro Microcline
<block:tfc:ore/microcline/gneiss>, Gneiss Microcline
<block:tfc:ore/microcline/granite>, Granite Microcline
<block:tfc:ore/microcline/limestone>, Limestone Microcline
<block:tfc:ore/microcline/marble>, Marble Microcline
<block:tfc:ore/microcline/phyllite>, Phyllite Microcline
<block:tfc:ore/microcline/quartzite>, Quartzite Microcline
<block:tfc:ore/microcline/rhyolite>, Rhyolite Microcline
<block:tfc:ore/microcline/rocksalt>, Rocksalt Microcline
<block:tfc:ore/microcline/schist>, Schist Microcline
<block:tfc:ore/microcline/shale>, Shale Microcline
<block:tfc:ore/microcline/slate>, Slate Microcline
<block:tfc:ore/native_ardite/andesite>, Native Ardite Andesite
<block:tfc:ore/native_ardite/basalt>, Native Ardite Basalt
<block:tfc:ore/native_ardite/chalk>, Native Ardite Chalk
<block:tfc:ore/native_ardite/chert>, Native Ardite Chert
<block:tfc:ore/native_ardite/claystone>, Native Ardite Claystone
<block:tfc:ore/native_ardite/conglomerate>, Native Ardite Conglomerate
<block:tfc:ore/native_ardite/dacite>, Native Ardite Dacite
<block:tfc:ore/native_ardite/diorite>, Native Ardite Diorite
<block:tfc:ore/native_ardite/dolomite>, Native Ardite Dolomite
<block:tfc:ore/native_ardite/gabbro>, Native Ardite Gabbro
<block:tfc:ore/native_ardite/gneiss>, Native Ardite Gneiss
<block:tfc:ore/native_ardite/granite>, Native Ardite Granite
<block:tfc:ore/native_ardite/limestone>, Native Ardite Limestone
<block:tfc:ore/native_ardite/marble>, Native Ardite Marble
<block:tfc:ore/native_ardite/phyllite>, Native Ardite Phyllite
<block:tfc:ore/native_ardite/quartzite>, Native Ardite Quartzite
<block:tfc:ore/native_ardite/rhyolite>, Native Ardite Rhyolite
<block:tfc:ore/native_ardite/rocksalt>, Native Ardite Rocksalt
<block:tfc:ore/native_ardite/schist>, Native Ardite Schist
<block:tfc:ore/native_ardite/shale>, Native Ardite Shale
<block:tfc:ore/native_ardite/slate>, Native Ardite Slate
